uniprot_id,gene_name,length,entry_type,description,is_essential
tr|A6T825|A6T825_KLEP7,KPN_01314,400,unreviewed (tr),tr|A6T825|A6T825_KLEP7 Tranport protein (MFS family) OS=Klebsiella pneumoniae subsp. pneumoniae (str,False
tr|A6T826|A6T826_KLEP7,KPN_01315,278,unreviewed (tr),tr|A6T826|A6T826_KLEP7 Aldo/keto reductase family OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
tr|A6T827|A6T827_KLEP7,KPN_01316,27,unreviewed (tr),tr|A6T827|A6T827_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T828|A6T828_KLEP7,KPN_01317,102,unreviewed (tr),tr|A6T828|A6T828_KLEP7 Anti-sigma B factor OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7,False
tr|A6T829|A6T829_KLEP7,KPN_01318,304,unreviewed (tr),tr|A6T829|A6T829_KLEP7 Transcriptional regulator (LysR family) OS=Klebsiella pneumoniae subsp. pneum,False
tr|A6T830|A6T830_KLEP7,KPN_01319,244,unreviewed (tr),tr|A6T830|A6T830_KLEP7 7-alpha-hydroxysteroid dehydrogenase OS=Klebsiella pneumoniae subsp. pneumoni,False
tr|A6T831|A6T831_KLEP7,KPN_01320,510,unreviewed (tr),"tr|A6T831|A6T831_KLEP7 Metal-dependent phosphohydrolase, HD subdomain OS=Klebsiella pneumoniae subsp",False
tr|A6T832|A6T832_KLEP7,KPN_01321,182,unreviewed (tr),tr|A6T832|A6T832_KLEP7 Intracellular protease/amidase OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
tr|A6T833|A6T833_KLEP7,KPN_01322,163,unreviewed (tr),tr|A6T833|A6T833_KLEP7 Type VI secretion system contractile sheath small subunit OS=Klebsiella pneum,False
tr|A6T834|A6T834_KLEP7,KPN_01323,516,unreviewed (tr),tr|A6T834|A6T834_KLEP7 Type VI secretion system contractile sheath large subunit OS=Klebsiella pneum,False
tr|A6T835|A6T835_KLEP7,KPN_01324,447,unreviewed (tr),tr|A6T835|A6T835_KLEP7 Type VI secretion system baseplate subunit TssK OS=Klebsiella pneumoniae subs,False
tr|A6T836|A6T836_KLEP7,KPN_01325,229,unreviewed (tr),tr|A6T836|A6T836_KLEP7 Type IV / VI secretion system DotU domain-containing protein OS=Klebsiella pn,False
tr|A6T837|A6T837_KLEP7,KPN_01326,568,unreviewed (tr),tr|A6T837|A6T837_KLEP7 Outer membrane protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATC,False
tr|A6T838|A6T838_KLEP7,KPN_01327,163,unreviewed (tr),tr|A6T838|A6T838_KLEP7 Hcp family type VI secretion system effector OS=Klebsiella pneumoniae subsp. ,False
tr|A6T839|A6T839_KLEP7,KPN_01328,866,unreviewed (tr),tr|A6T839|A6T839_KLEP7 Protease OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH,False
tr|A6T840|A6T840_KLEP7,KPN_01329,839,unreviewed (tr),tr|A6T840|A6T840_KLEP7 Type VI secretion system tip protein VgrG OS=Klebsiella pneumoniae subsp. pne,False
tr|A6T841|A6T841_KLEP7,KPN_01330,403,unreviewed (tr),tr|A6T841|A6T841_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T842|A6T842_KLEP7,KPN_01331,134,unreviewed (tr),tr|A6T842|A6T842_KLEP7 Lipoprotein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / ,False
tr|A6T843|A6T843_KLEP7,KPN_01332,33,unreviewed (tr),tr|A6T843|A6T843_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T844|A6T844_KLEP7,KPN_01333,83,unreviewed (tr),tr|A6T844|A6T844_KLEP7 Lipoprotein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / ,False
tr|A6T845|A6T845_KLEP7,KPN_01334,586,unreviewed (tr),tr|A6T845|A6T845_KLEP7 Membrane proteins OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700,False
tr|A6T846|A6T846_KLEP7,KPN_01335,86,unreviewed (tr),tr|A6T846|A6T846_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T847|A6T847_KLEP7,KPN_01336,255,unreviewed (tr),tr|A6T847|A6T847_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T848|A6T848_KLEP7,KPN_01337,129,unreviewed (tr),tr|A6T848|A6T848_KLEP7 Transposase-related protein OS=Klebsiella pneumoniae subsp. pneumoniae (strai,False
tr|A6T849|A6T849_KLEP7,KPN_01338,158,unreviewed (tr),tr|A6T849|A6T849_KLEP7 Transposase-related protein OS=Klebsiella pneumoniae subsp. pneumoniae (strai,False
tr|A6T850|A6T850_KLEP7,KPN_01339,113,unreviewed (tr),tr|A6T850|A6T850_KLEP7 Maltose transport system permease protein OS=Klebsiella pneumoniae subsp. pne,False
tr|A6T851|A6T851_KLEP7,KPN_01340,44,unreviewed (tr),tr|A6T851|A6T851_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T852|A6T852_KLEP7,KPN_01341,402,unreviewed (tr),tr|A6T852|A6T852_KLEP7 Structural protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 70,False
tr|A6T853|A6T853_KLEP7,KPN_01342,1124,unreviewed (tr),tr|A6T853|A6T853_KLEP7 Type VI secretion protein VasK OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
tr|A6T854|A6T854_KLEP7,KPN_01343,532,unreviewed (tr),tr|A6T854|A6T854_KLEP7 ImpA N-terminal domain-containing protein OS=Klebsiella pneumoniae subsp. pne,False
tr|A6T855|A6T855_KLEP7,KPN_01344,351,unreviewed (tr),tr|A6T855|A6T855_KLEP7 Bacterial toxin 44 domain-containing protein OS=Klebsiella pneumoniae subsp. ,False
tr|A6T856|A6T856_KLEP7,KPN_01345,156,unreviewed (tr),tr|A6T856|A6T856_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T857|A6T857_KLEP7,KPN_01346,322,unreviewed (tr),"tr|A6T857|A6T857_KLEP7 Transposase, IS4 OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007",False
tr|A6T858|A6T858_KLEP7,KPN_01347,584,unreviewed (tr),tr|A6T858|A6T858_KLEP7 Type VI secretion system baseplate subunit TssF OS=Klebsiella pneumoniae subs,False
tr|A6T859|A6T859_KLEP7,KPN_01348,19,unreviewed (tr),tr|A6T859|A6T859_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T860|A6T860_KLEP7,KPN_01349,127,unreviewed (tr),tr|A6T860|A6T860_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T861|A6T861_KLEP7,KPN_01350,237,unreviewed (tr),tr|A6T861|A6T861_KLEP7 Short-chain alcohol dehydrogenas OS=Klebsiella pneumoniae subsp. pneumoniae (,False
tr|A6T862|A6T862_KLEP7,KPN_01351,197,unreviewed (tr),"tr|A6T862|A6T862_KLEP7 Bacterial regulatory protein, TetR OS=Klebsiella pneumoniae subsp. pneumoniae",False
tr|A6T863|A6T863_KLEP7,yghA,251,unreviewed (tr),tr|A6T863|A6T863_KLEP7 Oxidoreductase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721,False
tr|A6T864|A6T864_KLEP7,yqhC,292,unreviewed (tr),tr|A6T864|A6T864_KLEP7 ARAC-type regulatory protein OS=Klebsiella pneumoniae subsp. pneumoniae (stra,False
tr|A6T865|A6T865_KLEP7,KPN_01354,309,unreviewed (tr),tr|A6T865|A6T865_KLEP7 2'-hydroxyisoflavone reductase OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
tr|A6T866|A6T866_KLEP7,yhjC,301,unreviewed (tr),"tr|A6T866|A6T866_KLEP7 Transcriptional regulator, LysR family OS=Klebsiella pneumoniae subsp. pneumo",False
tr|A6T867|A6T867_KLEP7,KPN_01356,307,unreviewed (tr),"tr|A6T867|A6T867_KLEP7 Bacterial regulatory protein, LysR OS=Klebsiella pneumoniae subsp. pneumoniae",False
tr|A6T868|A6T868_KLEP7,KPN_01357,294,unreviewed (tr),tr|A6T868|A6T868_KLEP7 Metallo-beta-lactamase domain-containing protein OS=Klebsiella pneumoniae sub,False
tr|A6T869|A6T869_KLEP7,KPN_01358,303,unreviewed (tr),tr|A6T869|A6T869_KLEP7 NmrA-like domain-containing protein OS=Klebsiella pneumoniae subsp. pneumonia,False
tr|A6T870|A6T870_KLEP7,KPN_01359,182,unreviewed (tr),"tr|A6T870|A6T870_KLEP7 Bacterial regulatory protein, TetR OS=Klebsiella pneumoniae subsp. pneumoniae",False
tr|A6T871|A6T871_KLEP7,KPN_01360,344,unreviewed (tr),tr|A6T871|A6T871_KLEP7 Zinc-containing alcohol dehydrogenase superfamily OS=Klebsiella pneumoniae su,False
tr|A6T872|A6T872_KLEP7,KPN_01361,391,unreviewed (tr),tr|A6T872|A6T872_KLEP7 Aminotransferase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
tr|A6T873|A6T873_KLEP7,KPN_01362,268,unreviewed (tr),tr|A6T873|A6T873_KLEP7 Lipoprotein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / ,False
tr|A6T877|A6T877_KLEP7,KPN_01366,204,unreviewed (tr),tr|A6T877|A6T877_KLEP7 YitT family protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7,False
tr|A6T878|A6T878_KLEP7,KPN_01367,159,unreviewed (tr),tr|A6T878|A6T878_KLEP7 Regulator for leucine (Or lrp) regulon and high-affinity branched-chain amino,False
tr|A6T880|A6T880_KLEP7,KPN_01369,248,unreviewed (tr),tr|A6T880|A6T880_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T881|A6T881_KLEP7,KPN_01370,64,unreviewed (tr),tr|A6T881|A6T881_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T882|A6T882_KLEP7,KPN_01371,364,unreviewed (tr),tr|A6T882|A6T882_KLEP7 Oxidoreductase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721,False
tr|A6T883|A6T883_KLEP7,KPN_01372,249,unreviewed (tr),"tr|A6T883|A6T883_KLEP7 Bacterial regulatory protein, DeoR OS=Klebsiella pneumoniae subsp. pneumoniae",False
tr|A6T887|A6T887_KLEP7,KPN_01376,412,unreviewed (tr),tr|A6T887|A6T887_KLEP7 Transposase/integrase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC,False
tr|A6T888|A6T888_KLEP7,KPN_01377,70,unreviewed (tr),tr|A6T888|A6T888_KLEP7 Excisionase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / ,False
tr|A6T889|A6T889_KLEP7,KPN_01378,86,unreviewed (tr),tr|A6T889|A6T889_KLEP7 DUF4060 family protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATC,False
tr|A6T890|A6T890_KLEP7,KPN_01379,102,unreviewed (tr),tr|A6T890|A6T890_KLEP7 DUF7740 domain-containing protein OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6T891|A6T891_KLEP7,KPN_01380,203,unreviewed (tr),tr|A6T891|A6T891_KLEP7 dATP/dGTP diphosphohydrolase MazZ domain-containing protein OS=Klebsiella pne,False
tr|A6T892|A6T892_KLEP7,KPN_01381,69,unreviewed (tr),tr|A6T892|A6T892_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T893|A6T893_KLEP7,KPN_01382,333,unreviewed (tr),tr|A6T893|A6T893_KLEP7 Enterobacterial exodeoxyribonuclease VIII OS=Klebsiella pneumoniae subsp. pne,False
tr|A6T894|A6T894_KLEP7,KPN_01383,1038,unreviewed (tr),tr|A6T894|A6T894_KLEP7 Enterobacterial exodeoxyribonuclease VIII OS=Klebsiella pneumoniae subsp. pne,False
tr|A6T895|A6T895_KLEP7,KPN_01384,118,unreviewed (tr),tr|A6T895|A6T895_KLEP7 DUF1482 family protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATC,False
tr|A6T896|A6T896_KLEP7,KPN_01385,102,unreviewed (tr),"tr|A6T896|A6T896_KLEP7 Regulatory protein, LysR:LysR substrate binding domain OS=Klebsiella pneumoni",False
tr|A6T897|A6T897_KLEP7,KPN_01386,57,unreviewed (tr),tr|A6T897|A6T897_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T898|A6T898_KLEP7,KPN_01387,294,unreviewed (tr),tr|A6T898|A6T898_KLEP7 Serine dehydrogenasease OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T899|A6T899_KLEP7,KPN_01388,154,unreviewed (tr),tr|A6T899|A6T899_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8A0|A6T8A0_KLEP7,KPN_01389,264,unreviewed (tr),tr|A6T8A0|A6T8A0_KLEP7 ParB/Spo0J HTH domain-containing protein OS=Klebsiella pneumoniae subsp. pneu,False
tr|A6T8A1|A6T8A1_KLEP7,KPN_01390,295,unreviewed (tr),tr|A6T8A1|A6T8A1_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8A3|A6T8A3_KLEP7,KPN_01392,66,unreviewed (tr),tr|A6T8A3|A6T8A3_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8A4|A6T8A4_KLEP7,KPN_01393,83,unreviewed (tr),tr|A6T8A4|A6T8A4_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8A5|A6T8A5_KLEP7,KPN_01394,89,unreviewed (tr),tr|A6T8A5|A6T8A5_KLEP7 DNA adenine methylase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC,False
tr|A6T8A7|A6T8A7_KLEP7,KPN_01396,147,unreviewed (tr),tr|A6T8A7|A6T8A7_KLEP7 N-acetyltransferase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7,False
tr|A6T8A8|A6T8A8_KLEP7,KPN_01397,43,unreviewed (tr),tr|A6T8A8|A6T8A8_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8A9|A6T8A9_KLEP7,KPN_01398,77,unreviewed (tr),tr|A6T8A9|A6T8A9_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8B0|A6T8B0_KLEP7,KPN_01399,198,unreviewed (tr),tr|A6T8B0|A6T8B0_KLEP7 DUF1367 family protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATC,False
tr|A6T8B1|A6T8B1_KLEP7,KPN_01400,114,unreviewed (tr),tr|A6T8B1|A6T8B1_KLEP7 Bacteriophage protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC,False
tr|A6T8B2|A6T8B2_KLEP7,KPN_01401,251,unreviewed (tr),tr|A6T8B2|A6T8B2_KLEP7 Antitermination protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8B3|A6T8B3_KLEP7,KPN_01402,128,unreviewed (tr),tr|A6T8B3|A6T8B3_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8B4|A6T8B4_KLEP7,KPN_01403,131,unreviewed (tr),tr|A6T8B4|A6T8B4_KLEP7 Prophage membrane protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ,False
tr|A6T8B5|A6T8B5_KLEP7,KPN_01404,93,unreviewed (tr),tr|A6T8B5|A6T8B5_KLEP7 Phage holin family protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
tr|A6T8B6|A6T8B6_KLEP7,KPN_01405,208,unreviewed (tr),tr|A6T8B6|A6T8B6_KLEP7 Glycoside hydrolase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7,False
tr|A6T8B7|A6T8B7_KLEP7,KPN_01406,58,unreviewed (tr),tr|A6T8B7|A6T8B7_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8B8|A6T8B8_KLEP7,KPN_01407,60,unreviewed (tr),tr|A6T8B8|A6T8B8_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8B9|A6T8B9_KLEP7,KPN_01408,172,unreviewed (tr),tr|A6T8B9|A6T8B9_KLEP7 Rha family transcriptional regulator OS=Klebsiella pneumoniae subsp. pneumoni,False
tr|A6T8C0|A6T8C0_KLEP7,KPN_01409,125,unreviewed (tr),tr|A6T8C0|A6T8C0_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8C1|A6T8C1_KLEP7,KPN_01410,47,unreviewed (tr),tr|A6T8C1|A6T8C1_KLEP7 Rz1 lytic protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700,False
tr|A6T8C2|A6T8C2_KLEP7,KPN_01411,164,unreviewed (tr),tr|A6T8C2|A6T8C2_KLEP7 TIR domain-containing protein OS=Klebsiella pneumoniae subsp. pneumoniae (str,False
tr|A6T8C3|A6T8C3_KLEP7,KPN_01412,334,unreviewed (tr),tr|A6T8C3|A6T8C3_KLEP7 Terminase small subunit OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8C4|A6T8C4_KLEP7,KPN_01413,434,unreviewed (tr),tr|A6T8C4|A6T8C4_KLEP7 Terminase large subunit gp17-like C-terminal domain-containing protein OS=Kle,False
tr|A6T8C5|A6T8C5_KLEP7,KPN_01414,474,unreviewed (tr),tr|A6T8C5|A6T8C5_KLEP7 DUF4055 domain-containing protein OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6T8C6|A6T8C6_KLEP7,KPN_01415,341,unreviewed (tr),tr|A6T8C6|A6T8C6_KLEP7 Phage head morphogenesis domain-containing protein OS=Klebsiella pneumoniae s,False
tr|A6T8C7|A6T8C7_KLEP7,KPN_01416,254,unreviewed (tr),tr|A6T8C7|A6T8C7_KLEP7 DUF6651 domain-containing protein OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6T8C8|A6T8C8_KLEP7,KPN_01417,259,unreviewed (tr),tr|A6T8C8|A6T8C8_KLEP7 P22 coat-protein 5 family protein OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6T8C9|A6T8C9_KLEP7,KPN_01418,119,unreviewed (tr),tr|A6T8C9|A6T8C9_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8D0|A6T8D0_KLEP7,KPN_01419,70,unreviewed (tr),tr|A6T8D0|A6T8D0_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8D1|A6T8D1_KLEP7,KPN_01420,136,unreviewed (tr),tr|A6T8D1|A6T8D1_KLEP7 Protein singed OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721,False
tr|A6T8D2|A6T8D2_KLEP7,KPN_01421,98,unreviewed (tr),tr|A6T8D2|A6T8D2_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8D3|A6T8D3_KLEP7,KPN_01422,127,unreviewed (tr),tr|A6T8D3|A6T8D3_KLEP7 Glutamate 5-kinase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 70,False
tr|A6T8D4|A6T8D4_KLEP7,KPN_01423,183,unreviewed (tr),tr|A6T8D4|A6T8D4_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8D5|A6T8D5_KLEP7,KPN_01424,130,unreviewed (tr),tr|A6T8D5|A6T8D5_KLEP7 Electron transfer flavoprotein subunit beta OS=Klebsiella pneumoniae subsp. p,False
tr|A6T8D6|A6T8D6_KLEP7,KPN_01425,310,unreviewed (tr),tr|A6T8D6|A6T8D6_KLEP7 Membrane component of transport system OS=Klebsiella pneumoniae subsp. pneumo,False
tr|A6T8D7|A6T8D7_KLEP7,KPN_01426,164,unreviewed (tr),tr|A6T8D7|A6T8D7_KLEP7 YdaY OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 785,False
tr|A6T8D8|A6T8D8_KLEP7,KPN_01427,122,unreviewed (tr),tr|A6T8D8|A6T8D8_KLEP7 Putative zinc-ribbon domain-containing protein OS=Klebsiella pneumoniae subsp,False
tr|A6T8D9|A6T8D9_KLEP7,KPN_01428,1037,unreviewed (tr),tr|A6T8D9|A6T8D9_KLEP7 Phage tail protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 70,False
tr|A6T8E0|A6T8E0_KLEP7,KPN_01429,111,unreviewed (tr),tr|A6T8E0|A6T8E0_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8E1|A6T8E1_KLEP7,KPN_01430,157,unreviewed (tr),"tr|A6T8E1|A6T8E1_KLEP7 Alkanesulfonate transport protein (ABC superfamily, membrane) OS=Klebsiella p",False
tr|A6T8E2|A6T8E2_KLEP7,KPN_01431,160,unreviewed (tr),tr|A6T8E2|A6T8E2_KLEP7 Transcriptional repressor for arsenical resistance (ArsR family) OS=Klebsiell,False
tr|A6T8E3|A6T8E3_KLEP7,KPN_01432,1028,unreviewed (tr),tr|A6T8E3|A6T8E3_KLEP7 Kinase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 7,False
tr|A6T8E4|A6T8E4_KLEP7,KPN_01433,878,unreviewed (tr),"tr|A6T8E4|A6T8E4_KLEP7 Flagellar biosynthesis, cell-distal portion of basal-body rod OS=Klebsiella p",False
tr|A6T8E5|A6T8E5_KLEP7,KPN_01434,285,unreviewed (tr),tr|A6T8E5|A6T8E5_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8E6|A6T8E6_KLEP7,KPN_01435,57,unreviewed (tr),tr|A6T8E6|A6T8E6_KLEP7 RecA regulator RecX OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7,False
tr|A6T8E7|A6T8E7_KLEP7,KPN_01436,92,unreviewed (tr),tr|A6T8E7|A6T8E7_KLEP7 Invertase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MG,False
tr|A6T8E8|A6T8E8_KLEP7,KPN_01437,138,unreviewed (tr),tr|A6T8E8|A6T8E8_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8E9|A6T8E9_KLEP7,umuD,139,unreviewed (tr),tr|A6T8E9|A6T8E9_KLEP7 SOS mutagenesis error-prone repair processed to UmuD' forms complex with UmuC,False
tr|A6T8F1|A6T8F1_KLEP7,KPN_01440,461,unreviewed (tr),tr|A6T8F1|A6T8F1_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8F2|A6T8F2_KLEP7,KPN_01441,165,unreviewed (tr),tr|A6T8F2|A6T8F2_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8F3|A6T8F3_KLEP7,KPN_01442,218,unreviewed (tr),tr|A6T8F3|A6T8F3_KLEP7 Peptidase S1 domain-containing protein OS=Klebsiella pneumoniae subsp. pneumo,False
tr|A6T8F5|A6T8F5_KLEP7,ynaF,141,unreviewed (tr),tr|A6T8F5|A6T8F5_KLEP7 Universal stress protein F OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
tr|A6T8F6|A6T8F6_KLEP7,ompN,384,unreviewed (tr),"tr|A6T8F6|A6T8F6_KLEP7 Outer membrane pore protein N, non-specific OS=Klebsiella pneumoniae subsp. p",False
tr|A6T8F8|A6T8F8_KLEP7,KPN_01447,83,unreviewed (tr),tr|A6T8F8|A6T8F8_KLEP7 DUF333 domain-containing protein OS=Klebsiella pneumoniae subsp. pneumoniae (,False
tr|A6T8F9|A6T8F9_KLEP7,hslJ,146,unreviewed (tr),tr|A6T8F9|A6T8F9_KLEP7 Heat shock protein hslJ OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8G0|A6T8G0_KLEP7,ldhA,329,unreviewed (tr),tr|A6T8G0|A6T8G0_KLEP7 D-lactate dehydrogenase OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8G1|A6T8G1_KLEP7,KPN_01450,166,unreviewed (tr),tr|A6T8G1|A6T8G1_KLEP7 VTT domain-containing protein OS=Klebsiella pneumoniae subsp. pneumoniae (str,False
tr|A6T8G2|A6T8G2_KLEP7,ydbH,879,unreviewed (tr),tr|A6T8G2|A6T8G2_KLEP7 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T8G3|A6T8G3_KLEP7,ynbE,61,unreviewed (tr),tr|A6T8G3|A6T8G3_KLEP7 Lipoprotein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / ,False
tr|A6T8G4|A6T8G4_KLEP7,ydbL,107,unreviewed (tr),tr|A6T8G4|A6T8G4_KLEP7 DUF1318 domain-containing protein OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6T8G5|A6T8G5_KLEP7,feaR,300,unreviewed (tr),tr|A6T8G5|A6T8G5_KLEP7 2-phenylethylamine catabolism regulatory protein OS=Klebsiella pneumoniae sub,False
tr|A6T8G6|A6T8G6_KLEP7,feaB,499,unreviewed (tr),tr|A6T8G6|A6T8G6_KLEP7 Phenylacetaldehyde dehydrogenase OS=Klebsiella pneumoniae subsp. pneumoniae (,False
tr|A6T8G8|A6T8G8_KLEP7,KPN_01457,245,unreviewed (tr),tr|A6T8G8|A6T8G8_KLEP7 Aldolase class II OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700,False
tr|A6T8G9|A6T8G9_KLEP7,KPN_01458,276,unreviewed (tr),"tr|A6T8G9|A6T8G9_KLEP7 Bacterial extracellular solute-binding protein, family 3 OS=Klebsiella pneumo",False
tr|A6T8H0|A6T8H0_KLEP7,KPN_01459,290,unreviewed (tr),tr|A6T8H0|A6T8H0_KLEP7 Dioxygenase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / ,False
tr|A6T8H2|A6T8H2_KLEP7,KPN_01461,304,unreviewed (tr),tr|A6T8H2|A6T8H2_KLEP7 Transcriptional regulator (LysR family) OS=Klebsiella pneumoniae subsp. pneum,False
tr|A6T8H3|A6T8H3_KLEP7,KPN_01462,419,unreviewed (tr),tr|A6T8H3|A6T8H3_KLEP7 FAD-dependent oxidoreductase OS=Klebsiella pneumoniae subsp. pneumoniae (stra,False
tr|A6T8H4|A6T8H4_KLEP7,KPN_01463,144,unreviewed (tr),tr|A6T8H4|A6T8H4_KLEP7 Endoribonuclease OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
